product,isoelectric_point,protein_format,molecular_weight_da,formulation_title,composition,product_conc_mg_ml,tm_c
MAB5410990,6.162000000000001,IGG3,391603.56,F01,"15 mM Succinate + 67.5 mM L-Lysine + 67.5 mM KCl + 0.4 mg/mL PS50, pH 4.5",172.8,139.411938032152
MAB5410990,6.162000000000001,IGG3,391603.56,F02,"15 mM Succinate + 135 mM L-Lysine + 0.4 mg/mL PS50, pH 4.5",172.8,138.958644672952
MAB5410990,6.162000000000001,IGG3,391603.56,F03,"15 mM Succinate + 67.5 mM L-Lysine + 135 mM Mannitol + 0.4 mg/mL PS50, pH 4.5",172.8,143.647804930888
MAB5410990,6.162000000000001,IGG3,391603.56,F04,"15 mM Succinate + 135 mM KCl + 0.4 mg/mL PS50, pH 4.5",172.8,140.801896569832
MAB5410990,6.162000000000001,IGG3,391603.56,F05,"15 mM Succinate + 270 mM Mannitol + 0.4 mg/mL PS50, pH 4.5",172.8,151.632332768888
MAB5410990,6.162000000000001,IGG3,391603.56,F06,"15 mM Succinate + 135 mM Fructose + 67.5 mM L-Lysine + 0.4 mg/mL PS50, pH 4.5",172.8,144.20305622464
MAB5410990,6.162000000000001,IGG3,391603.56,F07,"15 mM Succinate + 270 mM Fructose + 0.4 mg/mL PS50, pH 4.5",172.8,153.11123941616
MAB5410990,6.162000000000001,IGG3,391603.56,F08,"15 mM Succinate + 135 mM Fructose + 135 mM Mannitol + 0.4 mg/mL PS50, pH 4.5",172.8,153.407073219528
MAB5410990,6.162000000000001,IGG3,391603.56,F09,"15 mM Succinate + 67.5 mM L-Lysine + 67.5 mM KCl + 0.4 mg/mL PS50, pH 5.0",172.8,148.593380106232
MAB5410990,6.162000000000001,IGG3,391603.56,F10,"15 mM Succinate + 67.5 mM L-Lysine + 135 mM Mannitol + 0.4 mg/mL PS50, pH 5.0",172.8,151.512114476792
MAB5410990,6.162000000000001,IGG3,391603.56,F11,"15 mM Succinate + 135 mM Fructose + 67.5 mM L-Lysine + 0.4 mg/mL PS50, pH 5.0",172.8,152.0800702312
MAB5410990,6.162000000000001,IGG3,391603.56,F12,"15 mM Succinate + 135 mM Fructose + 135 mM Mannitol + 0.4 mg/mL PS50, pH 5.0",172.8,159.15828291808802
MAB5410990,6.162000000000001,IGG3,391603.56,F13,"15 mM Succinate + 67.5 mM L-Lysine + 67.5 mM KCl + 0.4 mg/mL PS50, pH 5.5",172.8,152.9686997828
MAB5410990,6.162000000000001,IGG3,391603.56,F14,"15 mM Succinate + 135 mM L-Lysine + 0.4 mg/mL PS50, pH 5.5",172.8,152.02097255927998
MAB5410990,6.162000000000001,IGG3,391603.56,F15,"15 mM Succinate + 67.5 mM L-Lysine + 135 mM Mannitol + 0.4 mg/mL PS50, pH 5.5",172.8,155.766433819288
MAB5410990,6.162000000000001,IGG3,391603.56,F16,"15 mM Succinate + 135 mM KCl + 0.4 mg/mL PS50, pH 5.5",172.8,154.77490729136
MAB5410990,6.162000000000001,IGG3,391603.56,F17,"15 mM Succinate + 270 mM Mannitol + 0.4 mg/mL PS50, pH 5.5",172.8,160.752395876152
MAB5410990,6.162000000000001,IGG3,391603.56,F18,"15 mM Succinate + 135 mM Fructose + 67.5 mM L-Lysine + 0.4 mg/mL PS50, pH 5.5",172.8,156.089205465368
MAB5410990,6.162000000000001,IGG3,391603.56,F19,"15 mM Succinate + 270 mM Fructose + 0.4 mg/mL PS50, pH 5.5",172.8,162.23772226919198
MAB5410990,6.162000000000001,IGG3,391603.56,F20,"15 mM Succinate + 135 mM Fructose + 135 mM Mannitol + 0.4 mg/mL PS50, pH 5.5",172.8,161.71612834328
MAB5410990,6.162000000000001,IGG3,391603.56,F21,"15 mM Citrate + 67.5 mM L-Lysine + 67.5 mM KCl + 0.4 mg/mL PS50, pH 5.0",172.8,145.24259211744
MAB5410990,6.162000000000001,IGG3,391603.56,F22,"15 mM Citrate + 135 mM L-Lysine + 0.4 mg/mL PS50, pH 5.0",172.8,144.25539044096
MAB5410990,6.162000000000001,IGG3,391603.56,F23,"15 mM Citrate + 67.5 mM L-Lysine + 135 mM Mannitol + 0.4 mg/mL PS50, pH 5.0",172.8,147.342173008568
MAB5410990,6.162000000000001,IGG3,391603.56,F24,"15 mM Citrate + 135 mM KCl + 0.4 mg/mL PS50, pH 5.0",172.8,146.689599612888
MAB5410990,6.162000000000001,IGG3,391603.56,F25,"15 mM Citrate + 270 mM Mannitol + 0.4 mg/mL PS50, pH 5.0",172.8,153.623158902648
MAB5410990,6.162000000000001,IGG3,391603.56,F26,"15 mM Citrate + 135 mM Fructose + 67.5 mM L-Lysine + 0.4 mg/mL PS50, pH 5.0",172.8,147.8288793808
MAB5410990,6.162000000000001,IGG3,391603.56,F27,"15 mM Citrate + 270 mM Fructose + 0.4 mg/mL PS50, pH 5.0",172.8,154.99166224184802
MAB5410990,6.162000000000001,IGG3,391603.56,F28,"15 mM Citrate + 135 mM Fructose + 135 mM Mannitol + 0.4 mg/mL PS50, pH 5.0",172.8,154.575688785048
MAB5410990,6.162000000000001,IGG3,391603.56,F29,"15 mM Citrate + 67.5 mM L-Lysine + 67.5 mM KCl + 0.4 mg/mL PS50, pH 6.0",172.8,157.117079813352
